doy,p10,p25,p50,p75,p90,n
248,0.5860,0.5860,0.5860,0.5860,0.5860,1
249,0.5816,0.5816,0.5816,0.5816,0.5816,1
250,0.5769,0.5769,0.5769,0.5769,0.5769,1
251,0.5719,0.5719,0.5719,0.5719,0.5719,1
252,0.5666,0.5666,0.5666,0.5666,0.5666,1
253,0.5611,0.5611,0.5611,0.5611,0.5611,1
254,0.5554,0.5554,0.5554,0.5554,0.5554,1
255,0.5493,0.5493,0.5493,0.5493,0.5493,1
256,0.5430,0.5430,0.5430,0.5430,0.5430,1
257,0.5365,0.5365,0.5365,0.5365,0.5365,1
258,0.5299,0.5299,0.5299,0.5299,0.5299,1
259,0.5238,0.5238,0.5238,0.5238,0.5238,1
260,0.5181,0.5181,0.5181,0.5181,0.5181,1
261,0.5128,0.5128,0.5128,0.5128,0.5128,1
262,0.5079,0.5079,0.5079,0.5079,0.5079,1
263,0.5035,0.5035,0.5035,0.5035,0.5035,1
264,0.4995,0.4995,0.4995,0.4995,0.4995,1
265,0.4959,0.4959,0.4959,0.4959,0.4959,1
266,0.4928,0.4928,0.4928,0.4928,0.4928,1
267,0.4901,0.4901,0.4901,0.4901,0.4901,1
268,0.4878,0.4878,0.4878,0.4878,0.4878,1
269,0.4860,0.4860,0.4860,0.4860,0.4860,1
270,0.4846,0.4846,0.4846,0.4846,0.4846,1
271,0.4836,0.4836,0.4836,0.4836,0.4836,1
272,0.4830,0.4830,0.4830,0.4830,0.4830,1
273,0.4829,0.4829,0.4829,0.4829,0.4829,1
274,0.4827,0.4827,0.4827,0.4827,0.4827,1
275,0.4826,0.4826,0.4826,0.4826,0.4826,1
276,0.4825,0.4825,0.4825,0.4825,0.4825,1
277,0.4823,0.4823,0.4823,0.4823,0.4823,1
278,0.4822,0.4822,0.4822,0.4822,0.4822,1
279,0.4821,0.4821,0.4821,0.4821,0.4821,1
280,0.4819,0.4819,0.4819,0.4819,0.4819,1
281,0.4818,0.4818,0.4818,0.4818,0.4818,1
282,0.4816,0.4816,0.4816,0.4816,0.4816,1
283,0.4815,0.4815,0.4815,0.4815,0.4815,1
284,0.4814,0.4814,0.4814,0.4814,0.4814,1
285,0.4812,0.4812,0.4812,0.4812,0.4812,1
286,0.4811,0.4811,0.4811,0.4811,0.4811,1
287,0.4810,0.4810,0.4810,0.4810,0.4810,1
288,0.4808,0.4808,0.4808,0.4808,0.4808,1
289,0.4807,0.4807,0.4807,0.4807,0.4807,1
290,0.4806,0.4806,0.4806,0.4806,0.4806,1
291,0.4804,0.4804,0.4804,0.4804,0.4804,1
292,0.4802,0.4802,0.4802,0.4802,0.4802,1
293,0.4799,0.4799,0.4799,0.4799,0.4799,1
294,0.4796,0.4796,0.4796,0.4796,0.4796,1
295,0.4793,0.4793,0.4793,0.4793,0.4793,1
296,0.4789,0.4789,0.4789,0.4789,0.4789,1
297,0.4784,0.4784,0.4784,0.4784,0.4784,1
298,0.4780,0.4780,0.4780,0.4780,0.4780,1
299,0.4775,0.4775,0.4775,0.4775,0.4775,1
300,0.4769,0.4769,0.4769,0.4769,0.4769,1
301,0.4763,0.4763,0.4763,0.4763,0.4763,1
302,0.4757,0.4757,0.4757,0.4757,0.4757,1
303,0.4750,0.4750,0.4750,0.4750,0.4750,1
304,0.4743,0.4743,0.4743,0.4743,0.4743,1
305,0.4735,0.4735,0.4735,0.4735,0.4735,1
306,0.4728,0.4728,0.4728,0.4728,0.4728,1
307,0.4720,0.4720,0.4720,0.4720,0.4720,1
308,0.4713,0.4713,0.4713,0.4713,0.4713,1
309,0.4705,0.4705,0.4705,0.4705,0.4705,1
310,0.4697,0.4697,0.4697,0.4697,0.4697,1
311,0.4690,0.4690,0.4690,0.4690,0.4690,1
312,0.4682,0.4682,0.4682,0.4682,0.4682,1
313,0.4675,0.4675,0.4675,0.4675,0.4675,1
314,0.4667,0.4667,0.4667,0.4667,0.4667,1
315,0.4659,0.4659,0.4659,0.4659,0.4659,1
316,0.4652,0.4652,0.4652,0.4652,0.4652,1
317,0.4644,0.4644,0.4644,0.4644,0.4644,1
318,0.4637,0.4637,0.4637,0.4637,0.4637,1
319,0.4629,0.4629,0.4629,0.4629,0.4629,1
320,0.4621,0.4621,0.4621,0.4621,0.4621,1
321,0.4614,0.4614,0.4614,0.4614,0.4614,1
322,0.4606,0.4606,0.4606,0.4606,0.4606,1
323,0.4601,0.4601,0.4601,0.4601,0.4601,1
324,0.4599,0.4599,0.4599,0.4599,0.4599,1
325,0.4599,0.4599,0.4599,0.4599,0.4599,1
326,0.4602,0.4602,0.4602,0.4602,0.4602,1
327,0.4608,0.4608,0.4608,0.4608,0.4608,1
328,0.4616,0.4616,0.4616,0.4616,0.4616,1
329,0.4627,0.4627,0.4627,0.4627,0.4627,1
330,0.4641,0.4641,0.4641,0.4641,0.4641,1
331,0.4657,0.4657,0.4657,0.4657,0.4657,1
