date,ndvi_mean,ndmi_mean,ndre_mean,evi_mean,gndvi_mean,msi_mean
2024-05-25,0.2570,0.1286,0.1488,0.7880,0.2006,0.8315
2024-05-30,,,,,,
2024-06-12,0.0562,0.1505,0.0113,-0.2131,0.0173,0.7391
2024-06-19,0.1837,0.0769,0.1274,-0.6837,0.1430,0.8594
2024-06-22,0.3816,0.1442,0.2668,1.5141,0.3369,0.7511
2024-06-29,0.5047,0.1197,0.3548,2.7048,0.4521,0.8021
2024-07-02,0.4431,0.1742,0.3180,0.6271,0.3871,0.7157
2024-07-12,0.5713,0.2005,0.4208,2.7006,0.5065,0.6852
2024-08-01,0.5840,0.2380,0.4275,2.4894,0.5076,0.6490
2024-08-03,0.5111,0.2141,0.3762,2.3160,0.4387,0.6683
2024-08-06,0.2878,0.1500,0.2056,-1.6207,0.2327,0.7447
2024-08-08,,,,,,
2024-08-11,0.6806,0.2528,0.4879,1.9771,0.6183,0.6400
2024-08-13,0.6496,0.2293,0.4524,2.2698,0.5809,0.6667
2024-08-18,0.5510,0.2918,0.3758,3.2413,0.4821,0.5632
2024-08-21,0.6321,0.2299,0.4313,2.2424,0.5635,0.6683
2024-08-23,0.4425,0.2354,0.3170,1.0326,0.3499,0.6382
2024-08-26,0.6384,0.2834,0.4375,2.6113,0.5601,0.5928
2024-08-28,0.6141,0.2106,0.3971,1.8699,0.5514,0.7016
2024-09-02,0.5937,0.1714,0.3811,2.2242,0.5324,0.7538
2024-09-05,0.6012,0.1821,0.3748,2.2333,0.5325,0.7338
2024-09-07,0.4351,0.1678,0.2648,1.3649,0.3707,0.7335
2024-09-10,0.4150,0.1683,0.2512,1.7437,0.3569,0.7374
2024-09-17,0.1561,0.1024,0.0685,0.0489,0.0933,0.8268
2024-09-20,0.4858,0.0933,0.2962,2.2240,0.4430,0.8592
2024-09-22,0.5008,0.0774,0.3092,1.9148,0.4724,0.8907
2024-09-25,0.1286,0.1129,0.0666,-0.4978,0.0736,0.8192
2024-09-27,0.4487,0.0559,0.2768,2.5059,0.4112,0.9293
2024-10-15,0.3313,0.1175,0.2092,1.1814,0.2677,0.8147
2024-10-17,0.4626,0.0606,0.2603,1.3596,0.4311,0.9349
2024-10-17,0.4501,0.1028,0.2691,1.4245,0.3950,0.8467
2024-10-22,0.3386,0.0916,0.2074,0.9710,0.2943,0.8557
2024-10-27,0.4909,0.0704,0.2961,1.6607,0.4557,0.9067
2024-11-01,0.1332,0.0670,0.0608,-0.5353,0.1031,0.8862
2024-11-21,0.0988,0.0452,0.0381,-0.4324,0.0605,0.9174
2024-11-29,0.4052,0.1318,0.2534,1.9489,0.3489,0.7840
2024-12-01,0.4778,0.1313,0.2930,3.1477,0.4128,0.7906
2024-12-14,0.5074,0.1924,0.3321,2.9271,0.4436,0.6973
2024-12-16,0.5043,0.1690,0.3125,2.3684,0.4455,0.7350
2024-12-16,0.5070,0.1717,0.3002,2.4593,0.4456,0.7311
2024-12-26,0.4752,0.1833,0.2986,2.8193,0.4119,0.7122
2024-12-31,0.5232,0.1597,0.3412,2.6138,0.4616,0.7587
2025-01-03,0.3516,0.2178,0.2452,-3.9075,0.2777,0.6589
