date,temperature_2m_max,temperature_2m_min,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean
2024-09-15,27.500,22.700,35.400,8.440,14.300,90
2024-09-16,30.200,22.500,8.400,15.470,14.300,84
2024-09-17,31.500,21.600,0.300,18.140,7.400,80
2024-09-18,32.200,22.300,0.000,18.440,7.800,78
2024-09-19,32.400,23.900,0.000,17.850,12.300,76
2024-09-20,32.400,23.300,4.300,17.360,17.200,79
2024-09-21,31.100,21.900,0.000,18.160,12.300,67
2024-09-22,29.900,21.600,0.000,17.740,13.000,57
2024-09-23,28.100,22.000,2.400,13.780,10.100,72
2024-09-24,27.300,21.400,0.000,8.320,7.000,80
2024-09-25,29.500,20.200,0.100,15.790,6.800,80
2024-09-26,30.800,21.400,0.000,16.900,8.500,79
2024-09-27,30.900,21.700,0.700,15.350,11.700,76
2024-09-28,28.200,23.600,6.300,8.970,13.900,83
2024-09-29,26.400,18.800,12.300,5.700,30.600,85
2024-09-30,20.000,16.900,0.200,8.430,12.100,79
2024-10-01,22.300,17.900,0.000,12.800,10.200,59
2024-10-02,21.200,16.300,0.000,9.670,10.000,70
2024-10-03,19.800,15.400,6.800,10.310,8.000,81
2024-10-04,19.500,15.900,5.200,6.300,9.200,83
2024-10-05,20.200,15.100,5.700,8.120,7.900,84
2024-10-06,21.500,15.700,1.400,8.200,5.500,83
2024-10-07,23.200,14.700,0.400,15.660,8.000,83
2024-10-08,21.800,15.000,0.800,10.290,9.000,83
2024-10-09,20.500,14.900,1.200,6.260,8.900,87
2024-10-10,22.900,17.000,0.600,10.900,9.000,80
2024-10-11,19.800,16.700,1.800,4.900,8.400,84
2024-10-12,22.000,15.400,1.100,10.510,9.400,84
2024-10-13,22.400,16.100,1.400,8.290,5.400,85
2024-10-14,23.400,15.900,0.000,10.200,9.000,85
2024-10-15,24.900,17.400,0.400,12.550,9.600,84
2024-10-16,21.800,15.400,4.100,5.120,12.900,87
2024-10-17,23.400,15.000,6.500,11.420,8.000,82
2024-10-18,22.700,17.500,7.800,5.660,7.900,90
2024-10-19,20.400,18.000,8.000,3.510,12.100,87
2024-10-20,21.400,17.700,1.100,6.110,16.700,87
2024-10-21,21.200,13.800,1.500,6.270,19.400,85
2024-10-22,22.000,14.700,0.000,13.320,10.200,70
2024-10-23,23.000,11.700,0.000,13.930,8.100,77
2024-10-24,20.500,15.500,3.200,5.280,8.200,87
2024-10-25,22.800,17.100,1.000,8.190,11.700,83
2024-10-26,19.000,15.400,1.200,3.500,12.400,79
2024-10-27,21.800,11.300,0.000,14.250,9.700,78
2024-10-28,22.300,11.500,0.200,13.550,8.300,75
2024-10-29,20.000,14.000,0.800,4.840,11.700,81
2024-10-30,20.700,15.200,0.500,8.580,10.900,82
2024-10-31,21.100,16.100,0.000,6.280,11.100,78
2024-11-01,22.700,15.700,0.200,13.130,10.100,75
2024-11-02,22.100,12.600,0.000,11.170,8.600,78
2024-11-03,18.700,16.500,1.400,3.480,8.600,86
2024-11-04,20.500,14.600,1.300,7.680,9.400,77
2024-11-05,20.400,10.800,0.100,11.650,8.400,81
2024-11-06,19.400,14.300,0.000,6.090,7.900,85
2024-11-07,19.000,12.900,0.000,6.110,6.300,86
2024-11-08,19.600,13.200,0.000,6.110,6.500,87
2024-11-09,18.900,12.700,5.200,5.930,12.400,91
2024-11-10,17.500,14.600,3.300,3.450,11.600,87
2024-11-11,18.100,13.800,1.600,3.640,8.000,88
2024-11-12,20.400,14.500,0.000,7.830,10.000,84
2024-11-13,20.300,14.800,0.000,6.350,8.600,86
2024-11-14,20.900,12.200,0.200,8.220,7.100,87
2024-11-15,19.200,15.100,2.700,2.880,11.500,92
2024-11-16,17.900,13.900,0.500,3.060,8.900,76
2024-11-17,14.500,10.600,0.400,3.540,13.200,71
2024-11-18,14.400,9.500,0.100,6.870,11.100,70
2024-11-19,13.400,9.600,0.100,6.180,11.100,71
2024-11-20,16.400,8.500,0.100,11.180,6.400,76
2024-11-21,17.300,10.500,0.000,9.730,6.000,76
2024-11-22,16.900,7.900,0.000,8.680,8.600,83
2024-11-23,15.200,11.300,2.000,4.140,10.500,85
2024-11-24,12.400,10.300,5.500,2.220,15.600,92
2024-11-25,11.500,7.100,0.600,4.100,12.700,65
2024-11-26,11.400,6.900,0.300,6.430,11.100,69
2024-11-27,14.100,6.800,0.000,9.480,7.700,72
2024-11-28,14.200,5.700,0.000,10.270,6.800,79
2024-11-29,14.400,3.300,0.000,10.860,6.500,81
2024-11-30,16.000,4.000,0.000,11.420,5.600,80
